"Word"	"Length"	"Freq_HAL"	"Log_Freq_HAL"	"MorphSp"	"POS"	"prefix"	"nprefix"	"root"	"nroot"
"query"	5	10492	9.26	"{query}"	"NN|VB"	"^quer"	1	"y"	10
"study"	5	50899	10.84	"{stud--y}"	"NN|VB"	"^stud"	1	"y"	10
"campaign"	8	24070	10.09	"{campaign}"	"NN|VB"	"^camp"	3	"aign"	1
"campmate"	8	2	0.69	"{camp}{mate}"	"NN|VB"	"^camp"	3	"mate"	3
"cremate"	7	48	3.87	"{cremate}"	"VB"	"^cre"	9	"mate"	3
"summate"	7	0	0	"{sum}{mate}"	"NN|VB"	"^sum"	3	"mate"	3
"cancel"	6	20643	9.94	"{cancel}"	"VB|NN"	"^can"	5	"cel"	2
"excel"	5	12124	9.4	"{excel}"	"VB|NN"	"^ex"	59	"cel"	2
"cannot"	6	108318	11.59	"{can--not}"	"VB"	"^can"	5	"not"	1
"canvass"	7	130	4.87	"{canvass}"	"NN|VB"	"^can"	5	"vass"	1
"canyonside"	10	1	0	"{canyon}{side}"	"NN|VB|JJ"	"^can"	5	"yonside"	1
"canter"	6	1777	7.48	"{canter}"	"NN|VB"	"^cant"	1	"er"	9
"caper"	5	457	6.12	"{caper}"	"NN|VB"	"^cap"	1	"er"	9
"center"	6	87347	11.38	"{center}"	"NN|VB"	"^cent"	1	"er"	9
"corner"	6	23080	10.05	"{corner}"	"NN|VB"	"^corn"	1	"er"	9
"lever"	5	2025	7.61	"{lever}"	"NN|VB"	"^lev"	4	"er"	9
"pander"	6	214	5.37	"{pander}"	"VB"	"^pand"	1	"er"	9
"quarter"	7	11705	9.37	"{quart--er}"	"NN|VB"	"^quart"	1	"er"	9
"silver"	6	24413	10.1	"{silver}"	"NN|VB|JJ"	"^silv"	1	"er"	9
"tender"	6	4229	8.35	"{tender}"	"NN|VB"	"^tend"	2	"er"	9
"capitulate"	10	97	4.57	"{capitul--ate}"	"VB"	"^capit"	1	"ulate"	5
"circulate"	9	793	6.68	"{circul--ate}"	"VB"	"^circ"	2	"ulate"	5
"formulate"	9	1178	7.07	"{formul--ate}"	"VB"	"^form"	2	"ulate"	5
"regulate"	8	3419	8.14	"{regul--ate}"	"VB"	"^reg"	9	"ulate"	5
"undulate"	8	34	3.53	"{undul--ate}"	"VB"	"^und"	35	"ulate"	5
"capsize"	7	35	3.56	"{capsize}"	"VB"	"^caps"	1	"ize"	6
"maximize"	8	2688	7.9	"{maxim--ize}"	"VB"	"^maxim"	1	"ize"	6
"memorize"	8	1122	7.02	"{memor--ize}"	"VB"	"^memor"	1	"ize"	6
"pulverize"	9	52	3.95	"{pulver--ize}"	"VB"	"^pulver"	1	"ize"	6
"seize"	5	1925	7.56	"{seize}"	"VB"	"^se"	13	"ize"	6
"temporize"	9	15	2.71	"{tempor--ize}"	"VB"	"^tempor"	1	"ize"	6
"captain"	7	21156	9.96	"{captain}"	"NN|VB"	"^capt"	3	"ain"	5
"regain"	6	1878	7.54	"{re--gain}"	"VB"	"^reg"	9	"ain"	5
"remain"	6	24587	10.11	"{remain}"	"VB"	"^rem"	14	"ain"	5
"retain"	6	5505	8.61	"{re--tain}"	"VB|NN"	"^ret"	13	"ain"	5
"stain"	5	1776	7.48	"{stain}"	"NN|VB"	"^st"	97	"ain"	5
"capture"	7	10098	9.22	"{capt--ure}"	"NN|VB"	"^capt"	3	"ure"	13
"censure"	7	536	6.28	"{cens--ure}"	"NN|VB"	"^cens"	3	"ure"	13
"ensure"	6	17712	9.78	"<en<{sure}"	"VB|NN"	"^ens"	6	"ure"	13
"inure"	5	21	3.04	"{inure}"	"VB"	"^in"	87	"ure"	13
"pasture"	7	1179	7.07	"{pasture}"	"NN|VB"	"^past"	3	"ure"	13
"picture"	7	46520	10.75	"{pict--ure}"	"NN|VB"	"^pict"	1	"ure"	13
"pressure"	8	28433	10.26	"{press--ure}"	"NN|VB"	"^press"	2	"ure"	13
"puncture"	8	472	6.16	"{puncture}"	"NN|VB"	"^punct"	2	"ure"	13
"secure"	6	14198	9.56	"{secure}"	"VB|JJ"	"^sec"	4	"ure"	13
"structure"	9	29885	10.31	"{struct--ure}"	"NN|VB"	"^struct"	1	"ure"	13
"texture"	7	5678	8.64	"{texture}"	"NN|VB"	"^text"	1	"ure"	13
"torture"	7	7463	8.92	"{torture}"	"NN|VB"	"^tort"	1	"ure"	13
"venture"	7	7308	8.9	"{venture}"	"NN|VB"	"^vent"	3	"ure"	13
"cascade"	7	1764	7.48	"{cascade}"	"NN|VB"	"^cas"	6	"cade"	1
"cash"	4	39508	10.58	"{cash}"	"NN|VB"	"^cas"	6	"h"	4
"fish"	4	30614	10.33	"{fish}"	"NN|VB"	"^fis"	1	"h"	4
"lath"	4	61	4.11	"{lath}"	"NN|VB"	"^lat"	2	"h"	4
"mush"	4	2549	7.84	"{mush}"	"NN|VB"	"^mus"	6	"h"	4
"castigate"	9	98	4.58	"{castigate}"	"VB"	"^cas"	6	"tigate"	1
"castrate"	8	109	4.69	"{castrate}"	"VB"	"^cas"	6	"trate"	2
"filtrate"	8	21	3.04	"{filtr--ate}"	"VB"	"^fil"	5	"trate"	2
"censor"	6	3654	8.2	"{cens--or}"	"VB|NN"	"^cens"	3	"or"	8
"doctor"	6	31917	10.37	"{doctor}"	"NN|VB"	"^doct"	1	"or"	8
"factor"	6	22949	10.04	"{fact--or}"	"NN|VB"	"^fact"	1	"or"	8
"flavor"	6	5124	8.54	"{flavor}"	"NN|VB"	"^flav"	1	"or"	8
"humor"	5	12777	9.46	"{humor}"	"NN|VB"	"^hum"	3	"or"	8
"motor"	5	13981	9.55	"{motor}"	"NN|JJ|VB"	"^mot"	4	"or"	8
"scissor"	7	265	5.58	"{scissor}"	"NN|VB"	"^sciss"	1	"or"	8
"sponsor"	7	8205	9.01	"{sponsor}"	"NN|VB"	"^spons"	1	"or"	8
"census"	6	3809	8.25	"{census}"	"NN|VB"	"^cens"	3	"us"	3
"focus"	5	27452	10.22	"{foc--us}"	"NN|VB"	"^foc"	1	"us"	3
"minus"	5	4181	8.34	"{minus}"	"minor|VB"	"^min"	8	"us"	3
"ciderpress"	10	0	0	"{cider}{press}"	"NN|VB"	"^cid"	1	"erpress"	1
"cipher"	6	1323	7.19	"{cipher}"	"VB"	"^cip"	1	"her"	5
"father"	6	38034	10.55	"{father}"	"NN|VB"	"^fat"	3	"her"	5
"further"	7	83287	11.33	"{furth--er}"	"JJ|RB|VB"	"^furt"	1	"her"	5
"lather"	6	376	5.93	"{lather}"	"NN|VB"	"^lat"	2	"her"	5
"usher"	5	702	6.55	"{usher}"	"NN|VB"	"^us"	2	"her"	5
"circle"	6	19887	9.9	"{circle}"	"NN|VB"	"^circ"	2	"le"	8
"muscle"	6	9316	9.14	"{muscle}"	"NN|VB"	"^musc"	1	"le"	8
"ogle"	4	676	6.52	"{ogle}"	"NN|VB"	"^og"	1	"le"	8
"rumple"	6	31	3.43	"{rumple}"	"VB"	"^rump"	1	"le"	8
"sidle"	5	19	2.94	"{sidle}"	"VB"	"^sid"	5	"le"	8
"tangle"	6	1898	7.55	"{tangle}"	"NN|VB"	"^tang"	2	"le"	8
"tingle"	6	321	5.77	"{tingle}"	"VB|NN"	"^ting"	2	"le"	8
"tussle"	6	92	4.52	"{tussle}"	"NN|VB"	"^tuss"	1	"le"	8
"circumcise"	10	262	5.57	"{circum--cise}"	"VB"	"^circum"	4	"cise"	2
"incise"	6	4	1.39	"{in--cise}"	"VB"	"^in"	87	"cise"	2
"circumnavigate"	14	34	3.53	"<circum<{navig--ate}"	"VB"	"^circum"	4	"navigate"	1
"circumscribe"	12	30	3.4	"{circum--scribe}"	"VB"	"^circum"	4	"scribe"	7
"describe"	8	22980	10.04	"{de--scribe}"	"VB"	"^de"	125	"scribe"	7
"inscribe"	8	430	6.06	"{in--scribe}"	"VB"	"^in"	87	"scribe"	7
"prescribe"	9	1358	7.21	"{pre--scribe}"	"VB"	"^pre"	31	"scribe"	7
"proscribe"	9	161	5.08	"{pro--scribe}"	"VB"	"^pro"	40	"scribe"	7
"subscribe"	9	46138	10.74	"{sub--scribe}"	"VB|NN|JJ"	"^sub"	20	"scribe"	7
"superscribe"	11	0	0	"{super--scribe}"	"VB"	"^super"	6	"scribe"	7
"circumvent"	10	803	6.69	"{circum--vent}"	"VB"	"^circum"	4	"vent"	3
"invent"	6	2565	7.85	"{in--vent}"	"VB"	"^in"	87	"vent"	3
"prevent"	7	29122	10.28	"{prevent}"	"VB"	"^pre"	31	"vent"	3
"coach"	5	8817	9.08	"{coach}"	"NN|VB"	"^co"	48	"ach"	3
"preach"	6	2490	7.82	"{preach}"	"VB"	"^pre"	31	"ach"	3
"reach"	5	34160	10.44	"{reach}"	"VB|NN"	"^re"	176	"ach"	3
"coagulate"	9	37	3.61	"{coagul--ate}"	"VB"	"^co"	48	"agulate"	1
"coalesce"	8	102	4.62	"{coalesce}"	"VB"	"^co"	48	"alesce"	1
"coalmine"	8	81	4.39	"{coal}{mine}"	"NN|VB"	"^co"	48	"almine"	1
"coast"	5	22188	10.01	"{coast}"	"NN|VB"	"^co"	48	"ast"	2
"precast"	7	24	3.18	"<pre<{cast}"	"VB|JJ"	"^prec"	7	"ast"	2
"coat"	4	10295	9.24	"{coat}"	"NN|VB"	"^co"	48	"at"	3
"pleat"	5	41	3.71	"{pleat}"	"NN|VB"	"^ple"	5	"at"	3
"seat"	4	17184	9.75	"{seat}"	"NN|VB"	"^se"	13	"at"	3
"coauthor"	8	194	5.27	"<co<{author}"	"NN|VB"	"^co"	48	"author"	1
"coax"	4	2086	7.64	"{coax}"	"VB"	"^co"	48	"ax"	1
"cobble"	6	121	4.8	"{cobble}"	"NN|VB"	"^co"	48	"bble"	2
"quibble"	7	835	6.73	"{quibble}"	"VB|NN"	"^qui"	6	"bble"	2
"cock"	4	23323	10.06	"{cock}"	"NN|VB"	"^co"	48	"ck"	7
"deck"	4	28755	10.27	"{deck}"	"NN|VB"	"^de"	125	"ck"	7
"pluck"	5	532	6.28	"{pluck}"	"VB|NN"	"^plu"	4	"ck"	7
"struck"	6	7224	8.89	"{struck}"	"VB"	"^stru"	5	"ck"	7
"suck"	4	13814	9.53	"{suck}"	"VB|NN"	"^su"	37	"ck"	7
"track"	5	45579	10.73	"{track}"	"NN|VB"	"^tra"	15	"ck"	7
"trick"	5	15658	9.66	"{trick}"	"NN|VB"	"^tri"	11	"ck"	7
"cocoon"	6	2063	7.63	"{cocoon}"	"NN|VB"	"^co"	48	"coon"	1
"coddle"	6	61	4.11	"{coddle}"	"VB|NN"	"^co"	48	"ddle"	1
"coerce"	6	542	6.3	"{coerce}"	"VB"	"^co"	48	"erce"	1
"coexist"	7	1416	7.26	"<co<{ex--ist}"	"VB"	"^co"	48	"exist"	1
"cogitate"	8	20	3	"{cogitate}"	"VB"	"^co"	48	"gitate"	1
"cohabit"	7	16	2.77	"{co--habit}"	"VB"	"^co"	48	"habit"	2
"inhabit"	7	609	6.41	"{in--habit}"	"VB"	"^in"	87	"habit"	2
"coil"	4	3384	8.13	"{coil}"	"NN|VB"	"^co"	48	"il"	2
"trail"	5	11055	9.31	"{trail}"	"NN|VB"	"^tra"	15	"il"	2
"coin"	4	6375	8.76	"{coin}"	"NN|VB"	"^co"	48	"in"	2
"train"	5	23376	10.06	"{train}"	"NN|VB"	"^tra"	15	"in"	2
"coincide"	8	1708	7.44	"{co--incide}"	"VB|NN"	"^co"	48	"incide"	1
"cook"	4	13551	9.51	"{cook}"	"NN|VB"	"^co"	48	"ok"	1
"cool"	4	49548	10.81	"{cool}"	"JJ|VB|NN"	"^co"	48	"ol"	2
"patrol"	6	5794	8.66	"{patrol}"	"NN|VB"	"^patr"	1	"ol"	2
"cooperate"	9	2591	7.86	"{co--oper--ate}"	"VB"	"^co"	48	"operate"	1
"coordinate"	10	4826	8.48	"{co--ordin--ate}"	"VB"	"^co"	48	"ordinate"	1
"cope"	4	3789	8.24	"{cope}"	"VB|NN"	"^co"	48	"pe"	2
"dupe"	4	387	5.96	"{dupe}"	"VB|NN"	"^du"	5	"pe"	2
"copilot"	7	79	4.37	"<co<{pilot}"	"VB|NN"	"^co"	48	"pilot"	1
"copulate"	8	94	4.54	"{copulate}"	"VB"	"^co"	48	"pulate"	1
"copy"	4	126341	11.75	"{copy}"	"NN|VB"	"^co"	48	"py"	2
"espy"	4	390	5.97	"{e--spy}"	"VB"	"^es"	9	"py"	2
"cotton"	6	5698	8.65	"{cotton}"	"NN|VB"	"^co"	48	"tton"	1
"cough"	5	2215	7.7	"{cough}"	"NN|VB"	"^co"	48	"ugh"	1
"could"	5	544756	13.21	"{could}"	"VB"	"^co"	48	"uld"	1
"counsel"	7	4514	8.41	"{counsel}"	"NN|VB"	"^co"	48	"unsel"	1
"count"	5	34402	10.45	"{count}"	"NN|VB"	"^co"	48	"unt"	2
"stunt"	5	1682	7.43	"{stunt}"	"NN|VB"	"^st"	97	"unt"	2
"countenance"	11	326	5.79	"{countenance}"	"NN|VB"	"^co"	48	"untenance"	1
"counter"	7	16309	9.7	"{counter}"	"VB|RB"	"^co"	48	"unter"	1
"counteract"	10	568	6.34	"<counter<{act}"	"VB"	"^co"	48	"unteract"	1
"counterflow"	11	31	3.43	"<counter<{flow}"	"NN|VB"	"^co"	48	"unterflow"	1
"counterman"	10	4	1.39	"<counter<{man}"	"VB"	"^co"	48	"unterman"	1
"countermand"	11	26	3.26	"{counter--mand}"	"VB"	"^co"	48	"untermand"	1
"counterplot"	11	13	2.56	"<counter<{plot}"	"NN|VB"	"^co"	48	"unterplot"	1
"countersign"	11	9	2.2	"<counter<{sign}"	"VB"	"^co"	48	"untersign"	1
"couple"	6	93448	11.45	"{couple}"	"NN|JJ|VB"	"^co"	48	"uple"	2
"quadruple"	9	391	5.97	"{quadr--uple}"	"VB"	"^quadr"	1	"uple"	2
"course"	6	195947	12.19	"{course}"	"NN|VB"	"^co"	48	"urse"	1
"court"	5	57767	10.96	"{court}"	"NN|VB"	"^co"	48	"urt"	1
"cover"	5	64134	11.07	"{cover}"	"VB|NN"	"^co"	48	"ver"	2
"quiver"	6	486	6.19	"{quiver}"	"NN|VB"	"^qui"	6	"ver"	2
"covet"	5	204	5.32	"{covet}"	"VB"	"^co"	48	"vet"	1
"cower"	5	221	5.4	"{cower}"	"VB"	"^co"	48	"wer"	1
"collaborate"	11	715	6.57	"{col--labor--ate}"	"VB"	"^coll"	8	"aborate"	1
"collapse"	8	5499	8.61	"{collapse}"	"NN|VB"	"^coll"	8	"apse"	1
"collect"	7	14307	9.57	"{collect}"	"VB|JJ"	"^coll"	8	"ect"	1
"college"	7	77818	11.26	"{college}"	"NN|VB"	"^coll"	8	"ege"	2
"renege"	6	93	4.53	"{renege}"	"VB"	"^ren"	9	"ege"	2
"collude"	7	73	4.29	"{collude}"	"VB"	"^coll"	8	"ude"	2
"exude"	5	86	4.45	"{exude}"	"VB"	"^ex"	59	"ude"	2
"comb"	4	1614	7.39	"{comb}"	"NN|VB"	"^com"	32	"b"	1
"combine"	7	6592	8.79	"{combine}"	"VB"	"^com"	32	"bine"	1
"combust"	7	72	4.28	"{combust}"	"VB"	"^com"	32	"bust"	1
"comfort"	7	6490	8.78	"{comfort}"	"NN|VB"	"^com"	32	"fort"	1
"command"	7	85016	11.35	"{co--mmand}"	"NN|VB"	"^com"	32	"mand"	2
"demand"	6	25807	10.16	"{de--mand}"	"NN|VB"	"^de"	125	"mand"	2
"commemorate"	11	566	6.34	"{co--mmemor--ate}"	"VB"	"^com"	32	"memorate"	1
"commence"	8	1045	6.95	"{commence}"	"VB"	"^com"	32	"mence"	1
"commend"	7	788	6.67	"{commend}"	"VB"	"^com"	32	"mend"	1
"commingle"	9	15	2.71	"{co--mmingle}"	"VB"	"^com"	32	"mingle"	2
"intermingle"	11	35	3.56	"<inter<{mingle}"	"VB"	"^inter"	28	"mingle"	2
"commiserate"	11	102	4.62	"{co--mmiser--ate}"	"VB"	"^com"	32	"miserate"	1
"commission"	10	20087	9.91	"{com--miss--ion}"	"NN|VB"	"^com"	32	"mission"	1
"communicate"	11	12666	9.45	"{commun--ic--ate}"	"VB"	"^com"	32	"municate"	1
"compare"	7	21932	10	"{compare}"	"VB"	"^com"	32	"pare"	2
"prepare"	7	11056	9.31	"{prepare}"	"VB"	"^pre"	31	"pare"	2
"compass"	7	1898	7.55	"{compass}"	"NN|VB"	"^com"	32	"pass"	1
"compel"	6	1072	6.98	"{com--pel}"	"VB"	"^com"	32	"pel"	4
"expel"	5	536	6.28	"{ex--pel}"	"VB"	"^ex"	59	"pel"	4
"impel"	5	394	5.98	"{im--pel}"	"VB"	"^im"	32	"pel"	4
"propel"	6	466	6.14	"{pro--pel}"	"VB"	"^pro"	40	"pel"	4
"compensate"	10	3207	8.07	"{com--pens--ate}"	"VB"	"^com"	32	"pensate"	1
"compete"	7	8561	9.05	"{compete}"	"VB"	"^com"	32	"pete"	1
"compile"	7	16873	9.73	"{compile}"	"VB"	"^com"	32	"pile"	1
"complain"	8	12433	9.43	"{complain}"	"VB|NN"	"^com"	32	"plain"	2
"explain"	7	43650	10.68	"{explain}"	"VB"	"^ex"	59	"plain"	2
"complete"	8	103017	11.54	"{com--plete}"	"JJ|VB"	"^com"	32	"plete"	2
"deplete"	7	239	5.48	"{de--plete}"	"VB"	"^de"	125	"plete"	2
"complicate"	10	738	6.6	"{com--plic--ate}"	"VB"	"^com"	32	"plicate"	3
"explicate"	9	81	4.39	"{ex--plic--ate}"	"VB"	"^ex"	59	"plicate"	3
"implicate"	9	232	5.45	"{im--plic--ate}"	"VB"	"^im"	32	"plicate"	3
"comport"	7	156	5.05	"{comport}"	"VB"	"^com"	32	"port"	3
"deport"	6	261	5.56	"{de--port}"	"VB"	"^de"	125	"port"	3
"purport"	7	537	6.29	"{purport}"	"VB"	"^pur"	6	"port"	3
"compose"	7	2629	7.87	"{com--pose}"	"VB"	"^com"	32	"pose"	9
"depose"	6	95	4.55	"{de--pose}"	"VB"	"^de"	125	"pose"	9
"expose"	6	5440	8.6	"{ex--pose}"	"VB"	"^ex"	59	"pose"	9
"impose"	6	5266	8.57	"{im--pose}"	"VB"	"^im"	32	"pose"	9
"interpose"	9	44	3.78	"<inter<{pose}"	"VB"	"^inter"	28	"pose"	9
"juxtapose"	9	1461	7.29	"{juxta--pose}"	"VB"	"^juxta"	1	"pose"	9
"oppose"	6	6419	8.77	"{o--ppose}"	"VB"	"^op"	4	"pose"	9
"propose"	7	6842	8.83	"{pro--pose}"	"VB"	"^pro"	40	"pose"	9
"transpose"	9	313	5.75	"<trans<{pose}"	"VB"	"^trans"	15	"pose"	9
"compost"	7	849	6.74	"{compost}"	"NN|VB"	"^com"	32	"post"	1
"compromise"	10	5902	8.68	"{compromise}"	"NN|VB"	"^com"	32	"promise"	1
"compute"	7	3170	8.06	"{com--pute}"	"VB"	"^com"	32	"pute"	2
"impute"	6	93	4.53	"{im--pute}"	"VB"	"^im"	32	"pute"	2
"conceal"	7	1524	7.33	"{conceal}"	"VB"	"^con"	78	"ceal"	1
"conceive"	8	1352	7.21	"{con--ceive}"	"VB"	"^con"	78	"ceive"	4
"deceive"	7	1300	7.17	"{de--ceive}"	"VB"	"^de"	125	"ceive"	4
"perceive"	8	3388	8.13	"{per--ceive}"	"VB|NN"	"^per"	23	"ceive"	4
"receive"	7	67666	11.12	"{re--ceive}"	"VB"	"^re"	176	"ceive"	4
"concentrate"	11	6190	8.73	"{con--centr--ate}"	"VB"	"^con"	78	"centrate"	1
"concern"	7	19989	9.9	"{con--cern}"	"NN|VB"	"^con"	78	"cern"	1
"conclude"	8	5858	8.68	"{con--clude}"	"VB"	"^con"	78	"clude"	3
"exclude"	7	3868	8.26	"{ex--clude}"	"VB"	"^ex"	59	"clude"	3
"include"	7	144495	11.88	"{in--clude}"	"VB"	"^in"	87	"clude"	3
"concoct"	7	127	4.84	"{con--coct}"	"VB"	"^con"	78	"coct"	1
"concrete"	8	7961	8.98	"{concrete}"	"JJ|NN|VB"	"^con"	78	"crete"	2
"excrete"	7	134	4.9	"{excrete}"	"VB"	"^ex"	59	"crete"	2
"concur"	6	1268	7.15	"{con--cur}"	"VB"	"^con"	78	"cur"	4
"incur"	5	1514	7.32	"{in--cur}"	"VB"	"^in"	87	"cur"	4
"occur"	5	21415	9.97	"{o--ccur}"	"VB"	"^oc"	4	"cur"	4
"recur"	5	232	5.45	"{re--cur}"	"VB"	"^re"	176	"cur"	4
"condemn"	7	2865	7.96	"{condemn}"	"VB"	"^con"	78	"demn"	1
"condense"	8	277	5.62	"{condense}"	"VB"	"^con"	78	"dense"	1
"condescend"	10	66	4.19	"{con--de--scend}"	"VB"	"^con"	78	"descend"	1
"condone"	7	1326	7.19	"{condone}"	"VB"	"^con"	78	"done"	1
"confabulate"	11	5	1.61	"{con--fabul--ate}"	"VB"	"^con"	78	"fabulate"	1
"confer"	6	690	6.54	"{con--fer}"	"VB"	"^con"	78	"fer"	7
"defer"	5	762	6.64	"{de--fer}"	"VB"	"^de"	125	"fer"	7
"infer"	5	1469	7.29	"{in--fer}"	"VB"	"^in"	87	"fer"	7
"offer"	5	98441	11.5	"{offer}"	"NN|VB"	"^of"	3	"fer"	7
"pilfer"	6	46	3.83	"{pilfer}"	"VB"	"^pil"	4	"fer"	7
"prefer"	6	43552	10.68	"{prefer}"	"VB"	"^pre"	31	"fer"	7
"refer"	5	26546	10.19	"{re--fer}"	"VB"	"^re"	176	"fer"	7
"confess"	7	2702	7.9	"{confess}"	"VB"	"^con"	78	"fess"	2
"profess"	7	766	6.64	"{profess}"	"VB"	"^pro"	40	"fess"	2
"confide"	7	147	4.99	"{confide}"	"VB"	"^con"	78	"fide"	1
"confine"	7	754	6.63	"{con--fine}"	"VB"	"^con"	78	"fine"	3
"define"	6	24310	10.1	"{de--fine}"	"VB"	"^de"	125	"fine"	3
"refine"	6	763	6.64	"{refine}"	"VB"	"^re"	176	"fine"	3
"confiscate"	10	582	6.37	"{confisc--ate}"	"VB"	"^con"	78	"fiscate"	1
"conform"	7	3356	8.12	"{con--form}"	"VB"	"^con"	78	"form"	6
"deform"	6	148	5	"{de--form}"	"VB"	"^de"	125	"form"	6
"inform"	6	8985	9.1	"{inform}"	"VB"	"^in"	87	"form"	6
"perform"	7	24590	10.11	"{perform}"	"VB"	"^per"	23	"form"	6
"reform"	6	15887	9.67	"{re--form}"	"NN|VB"	"^re"	176	"form"	6
"transform"	9	3508	8.16	"<trans<{form}"	"VB"	"^trans"	15	"form"	6
"confound"	8	221	5.4	"{con--found}"	"VB"	"^con"	78	"found"	1
"confuse"	7	5129	8.54	"{confuse}"	"VB"	"^con"	78	"fuse"	6
"defuse"	6	236	5.46	"{de--fuse}"	"VB"	"^de"	125	"fuse"	6
"effuse"	6	2	0.69	"{e--ffuse}"	"VB"	"^ef"	4	"fuse"	6
"infuse"	6	312	5.74	"{in--fuse}"	"VB"	"^in"	87	"fuse"	6
"refuse"	6	14723	9.6	"{re--fuse}"	"VB"	"^re"	176	"fuse"	6
"transfuse"	9	5	1.61	"{transfuse}"	"VB"	"^trans"	15	"fuse"	6
"conga"	5	147	4.99	"{conga}"	"NN|VB"	"^con"	78	"ga"	1
"congeal"	7	28	3.33	"{congeal}"	"VB"	"^con"	78	"geal"	1
"congest"	7	20	3	"{con--gest}"	"VB"	"^con"	78	"gest"	2
"ingest"	6	678	6.52	"{in--gest}"	"VB"	"^in"	87	"gest"	2
"congratulate"	12	846	6.74	"{congratulate}"	"VB"	"^con"	78	"gratulate"	1
"congregate"	10	273	5.61	"{con--greg--ate}"	"VB"	"^con"	78	"gregate"	1
"conjecture"	10	1282	7.16	"{conjecture}"	"NN|VB"	"^con"	78	"jecture"	1
"conjugate"	9	272	5.61	"{con--jug--ate}"	"VB"	"^con"	78	"jugate"	2
"subjugate"	9	263	5.57	"{sub--jug--ate}"	"VB"	"^sub"	20	"jugate"	2
"connect"	7	37477	10.53	"{connect}"	"VB|NN"	"^con"	78	"nect"	1
"connive"	7	8	2.08	"{connive}"	"VB"	"^con"	78	"nive"	1
"connote"	7	86	4.45	"{connote}"	"VB"	"^con"	78	"note"	1
"conquer"	7	3143	8.05	"{conquer}"	"VB"	"^con"	78	"quer"	1
"consecrate"	10	3006	8.01	"{con--secrate}"	"VB"	"^con"	78	"secrate"	2
"desecrate"	9	112	4.72	"{de--secrate}"	"VB"	"^de"	125	"secrate"	2
"conserve"	8	1201	7.09	"{con--serve}"	"VB"	"^con"	78	"serve"	6
"deserve"	7	11987	9.39	"{de--serve}"	"VB"	"^de"	125	"serve"	6
"observe"	7	6027	8.7	"{observe}"	"VB|NN"	"^ob"	11	"serve"	6
"preserve"	8	6306	8.75	"{pre--serve}"	"VB|NN"	"^pre"	31	"serve"	6
"reserve"	7	26384	10.18	"{reserve}"	"NN|VB|JJ"	"^re"	176	"serve"	6
"subserve"	8	2	0.69	"<sub<{serve}"	"VB"	"^sub"	20	"serve"	6
"consider"	8	78623	11.27	"{consider}"	"VB"	"^con"	78	"sider"	1
"console"	7	10876	9.29	"{console}"	"VB"	"^con"	78	"sole"	1
"conspire"	8	493	6.2	"{conspire}"	"VB"	"^con"	78	"spire"	4
"inspire"	7	1440	7.27	"{in--spire}"	"VB"	"^in"	87	"spire"	4
"perspire"	8	42	3.74	"{per--spire}"	"VB"	"^per"	23	"spire"	4
"respire"	7	36	3.58	"{re--spire}"	"VB"	"^re"	176	"spire"	4
"consternate"	11	0	0	"{consternate}"	"VB"	"^con"	78	"sternate"	1
"constipate"	10	6	1.79	"{constipate}"	"VB"	"^con"	78	"stipate"	1
"constitute"	10	5130	8.54	"{con--stitute}"	"VB"	"^con"	78	"stitute"	3
"institute"	9	42802	10.66	"{in--stitute}"	"NN|VB"	"^in"	87	"stitute"	3
"substitute"	10	8340	9.03	"{sub--stitute}"	"NN|VB|JJ"	"^sub"	20	"stitute"	3
"constrain"	9	330	5.8	"{con--strain}"	"VB"	"^con"	78	"strain"	2
"restrain"	8	874	6.77	"{re--strain}"	"VB"	"^re"	176	"strain"	2
"constrict"	9	93	4.53	"{con--strict}"	"VB"	"^con"	78	"strict"	2
"restrict"	8	7667	8.94	"{re--strict}"	"VB"	"^re"	176	"strict"	2
"construct"	9	7754	8.96	"{con--struct}"	"VB"	"^con"	78	"struct"	4
"destruct"	8	608	6.41	"{de--struct}"	"VB"	"^de"	125	"struct"	4
"instruct"	8	1199	7.09	"{in--struct}"	"VB"	"^in"	87	"struct"	4
"obstruct"	8	306	5.72	"{obstruct}"	"VB"	"^ob"	11	"struct"	4
"construe"	8	202	5.31	"{construe}"	"VB"	"^con"	78	"strue"	1
"consult"	7	7290	8.89	"{consult}"	"VB"	"^con"	78	"sult"	2
"result"	6	66995	11.11	"{result}"	"NN|VB"	"^re"	176	"sult"	2
"consummate"	10	737	6.6	"{con--summ--ate}"	"VB"	"^con"	78	"summate"	1
"contact"	7	141845	11.86	"{contact}"	"NN|VB"	"^con"	78	"tact"	1
"contaminate"	11	359	5.88	"{contamin--ate}"	"VB"	"^con"	78	"taminate"	1
"contemplate"	11	955	6.86	"{contemplate}"	"VB"	"^con"	78	"template"	1
"continue"	8	55897	10.93	"{continue}"	"VB"	"^con"	78	"tinue"	1
"contort"	7	69	4.23	"{con--tort}"	"VB"	"^con"	78	"tort"	1
"contribute"	10	13098	9.48	"{con--tribute}"	"VB"	"^con"	78	"tribute"	1
"contrive"	8	109	4.69	"{contrive}"	"VB"	"^con"	78	"trive"	1
"control"	7	152951	11.94	"{control}"	"NN|VB"	"^con"	78	"trol"	1
"controvert"	10	8	2.08	"{contro--vert}"	"VB"	"^con"	78	"trovert"	2
"introvert"	9	83	4.42	"{intro--vert}"	"VB|NN"	"^in"	87	"trovert"	2
